alpha,hidden layers,test max error,test min error,test avg error,test R2 error,train max error,train min error,train avg error,train R2 error,false positives,false negatives
0.5,"[40, 40]",0.9999823039706107,1.76960742038504e-05,0.6983279462011849,-1.3321243832020636e+19,0.999999999940193,5.980698142311083e-11,0.30726256985545286,-7.519734426036482e+28,0,713
0.5,"[60, 60]",0.9999999877219553,1.227804475072261e-08,0.6983349608495492,-1.0339803722874728e+30,0.9999999999999999,8.89488791253736e-17,0.3072625698324022,-1.5141821084674394e+45,0,713
0.1,[],0.8850713630648005,0.04365033757887948,0.44917643228298937,-6.428248642047364,0.9189332272651167,0.03757556901900072,0.32086825779707184,-3.800621014319913,2,699
0.1,[20],0.7875213682140417,0.19268201723977513,0.515434901928667,-31.27754499160124,0.7909090344351464,0.15082686237774715,0.37642888530546437,-19.43594452869238,0,713
0.1,[40],0.8332541397260076,0.17052337402891965,0.4946425429724608,-16.59970583187297,0.8320121186475828,0.1244193563514038,0.3626959673952304,-10.798068498554095,0,713
0.1,[60],0.8854419922808553,0.07420830640253018,0.43113380003134744,-4.620485102867607,0.9322248032085759,0.030779324502601818,0.3028294395163423,-2.3402488098286525,2,692
0.1,"[20, 20]",0.6927275114072036,0.30727944798342166,0.5764354721299007,-9810310758.210808,0.6927296756050653,0.30727414446665924,0.4257198231751632,-4506438125.456328,0,713
0.1,"[40, 40]",0.6927379636393778,0.30726209163260654,0.5764533012346695,-1791620674029.5818,0.6927379504676972,0.30726202673141584,0.4257047371844129,-807909332239.6167,0,713
0.1,"[60, 60]",0.9445022052681972,0.055497794816581306,0.6763206592669724,-3.812008924371597e+17,0.5590273640969996,0.44097263601988157,0.5227535584279859,-9718687959715112.0,0,713
0.01,[],0.7665231315772181,0.21774276898783873,0.5418202392829218,-68.51825878018914,0.7663408047562256,0.23247744067050702,0.4083431066227687,-50.98413916043129,0,713
0.01,[20],0.6991206835156007,0.30130543755952116,0.5703151693888734,-4328.467386462458,0.7035206060465509,0.2974866396623894,0.4262700457053643,-2486.1423781553153,0,713
0.01,[40],0.7102176986615716,0.30250529074705307,0.5698289409404674,-3939.3824678262913,0.7094131916686004,0.2610810813729588,0.42460422286445276,-1811.1698307415163,0,713
0.01,[60],0.7152977237557796,0.25755186464063196,0.562588013269925,-842.8893811278214,0.7287322578774869,0.24814474010686008,0.42050127297846007,-613.7511809256738,0,713
0.01,"[20, 20]",0.6929939716841249,0.30709433999899133,0.5764992877242554,-18215849.500924334,0.6929855445234856,0.30696955786466984,0.42576001063827734,-9791206.697058043,0,713
0.01,"[40, 40]",0.6927375437048331,0.3072624947022564,0.5764531550384708,-31726311657271.094,0.692737534626956,0.30726245023431803,0.4257046305288024,-15738535265980.133,0,713
0.01,"[60, 60]",0.692737430959713,0.30726256910197497,0.5764531434735084,-4.1480924424280966e+17,0.6927374309534089,0.30726256903615873,0.4257045664182673,-1.66364327185125e+17,0,713
0.001,[],0.7065819798976243,0.18930408781121166,0.4683479843953698,-40.23995871479923,0.9517968356074297,0.18010011024319506,0.4818172898814758,-33.86509833277229,0,712
0.001,[20],0.7080804419451101,0.3097481725592987,0.5700410985761923,-6736.016787369572,0.6965173794609956,0.2931079482682721,0.4359203591736989,-2833.974415667857,0,713
0.001,[40],0.7156842736125193,0.28625303382767714,0.5682265057871033,-3671.049633948402,0.713579913043534,0.2738456418489844,0.4281636737476386,-1231.9430474558267,0,713
0.001,[60],0.7070343473142824,0.2889350346883285,0.5660222544517558,-1224.9515057073777,0.7087438643139751,0.2741387383787016,0.42445938986522985,-888.3931759915189,0,713
0.001,"[20, 20]",0.6917685456704251,0.30822069553780623,0.576047211571211,-1036755165.6889045,0.6917599585494674,0.30822966831805587,0.426091973901336,-627931071.9233522,0,713
0.001,"[40, 40]",0.6927337153012385,0.3072662846565249,0.5764516645736243,-397699169412219.1,0.6927336498018757,0.30726634977088546,0.42570604470073337,-171401404195561.06,0,713
0.001,"[60, 60]",0.6927374096827967,0.3072625903136453,0.5764531328366554,-3.12009097632146e+17,0.6927374090077288,0.30726259096680664,0.42570457565220593,-1.317443672169071e+17,0,713
0.0001,[],0.8888807106974487,0.04232487126092688,0.3764882490393734,-78.96137151374354,0.9872982336604174,0.08529882314814952,0.5920851506868563,-148.3297126201064,14,492
0.0001,[20],0.9988154008030155,0.000507713465504156,0.30222962893790756,-462929.9248781898,0.9997042567234524,0.000601861500133194,0.6915879389365147,-972265.1050396421,308,0
0.0001,[40],0.999998151075138,3.3792798037612926e-07,0.3016663454131543,-6190567999.335254,0.999999889264547,5.954172687117065e-07,0.6927312053590463,-11351688855.304482,308,0
0.0001,[60],0.9999999985266255,1.0293410568351646e-10,0.3016650349111328,-901112926007717.0,0.999999999981914,2.760378592370216e-10,0.6927374171506323,-1454287873505495.5,308,0
0.0001,"[20, 20]",0.9999306345749994,6.920410045796466e-05,0.3016925859271724,-7472543114866.58,0.999931037747218,6.904160527587688e-05,0.692710598704416,-15836669545272.055,308,0
0.0001,"[40, 40]",0.999992648107602,7.351886301631971e-06,0.301667950556538,-1.2024093460325915e+20,0.99999268975707,7.310244255376297e-06,0.6927346122118513,-2.099060923385935e+20,308,0
0.0001,"[60, 60]",0.9999999991886239,8.113760774364209e-10,0.3016650346019645,-1.032559032692126e+31,0.9999999991954522,8.045477617457664e-10,0.6927374298575019,-2.270897324429741e+31,308,0
