alpha,hidden layers,test max error,test min error,test avg error,train max error,train min error,train avg error,successes,failures
0.1,[],0.3340468438137728,0.0008334936481378952,0.016929528772694474,0.744554326545116,0.0007390291669896465,0.03959250349918828,30,0
0.1,"[(4, 4)]",0.2854898585376441,0.0013699177282563424,0.020329896177537728,0.7347482490476973,0.0010728566695855646,0.04567906006039492,30,0
0.1,"[(4, 10), (10, 4)]",0.6667267092064464,0.6665288010945443,0.6666224968996711,0.6667595344076762,0.6665272445135798,0.6666243130543594,11,19
0.01,[],0.5641334290686826,0.025290642380316752,0.26507757437284857,0.5678519021402182,0.017572453785311026,0.2705310803444647,27,3
0.01,"[(4, 4)]",0.6660594026084624,0.6488517459691386,0.6584826136075447,0.6659456415206662,0.6479596217534895,0.6590317878096148,21,9
0.01,"[(4, 10), (10, 4)]",0.6667127973302565,0.6666239650024515,0.6666575207647092,0.6667264275776609,0.66661984885551,0.6666598953378586,10,20
0.001,[],0.6699952075745117,0.6154491252140473,0.6489489906152047,0.6723410976671067,0.6102221288240961,0.6498204144623012,21,9
0.001,"[(4, 4)]",0.6702370070519021,0.6627801008712888,0.6660695274272954,0.6706099986318821,0.6629321596321456,0.6661324611849999,10,20
0.001,"[(4, 10), (10, 4)]",0.6668167414564591,0.6665231878060038,0.6666817905839952,0.6668347186693006,0.6665440878516127,0.6666834263828486,10,20
