alpha,max error,min error,avg error,false positives,false negatives
2.0,0.002143582299081743,0.37447231958800753,0.31353660781288567,0.0,0.0
0.5,0.0072586739216712005,0.35702509452572995,0.31106613861986104,0.0,0.0
0.1,0.05802581357447206,0.48793320034819426,0.43477006856582595,0.0,0.0
0.01,0.38510659333655906,0.6687270893075519,0.5876636086447111,0.0,6.5
0.001,0.6504473762115872,0.6681811122145107,0.6398462322585946,0.0,10.0
0.0001,0.6192260313116557,0.6269027933860285,0.6207396009343688,0.0,10.0
