clase,alpha,max error,min error,avg error,false positives,false negatives
Iris-virginica,2.0,0.9711278000638742,0.007743792295801549,0.32907949250127516,4.625,0.0
Iris-virginica,0.5,0.9727461985458837,0.010315469762278465,0.3318042914032417,5.0,0.0
Iris-virginica,0.1,0.9782614733340316,0.011384733831399176,0.33430057636213717,5.0,0.0
Iris-virginica,0.01,0.9736006485910851,0.012020014443978,0.3332089868150744,5.0,0.0
Iris-virginica,0.001,0.9661494584161939,0.0139382733788313,0.33239072719663104,4.625,0.0
Iris-virginica,0.0001,0.9316080953506839,0.03261210877711486,0.3347701035122606,4.375,0.125
