alpha,max error,min error,avg error,false positives,false negatives
2.0,0.0001827442890785733,0.0981336095147667,0.05144615016970099,0.0,2.125
0.5,0.0009384469672179125,0.05992605717490676,0.016098113161179987,0.0,0.875
0.1,0.00648588155628955,0.11452587726092721,0.04313374786529625,0.0,1.25
0.01,0.2121889550333064,0.4268148749934046,0.32229465398674106,0.0,10.0
0.001,0.4093428959526447,0.44502500195195654,0.44275846519172957,0.0,10.0
0.0001,0.5419842042415888,0.5284621206868994,0.5269400895035286,0.0,10.0
