specie,alpha,hidden layers,max error,min error,avg error,false positives,false negatives
Iris-setosa,0.1,[],0.06621405704846584,0.8484854530614551,0.6159545802226333,0,0
Iris-setosa,0.1,[4],0.02059611990023364,0.4869589330907444,0.40525518969216934,0,0
Iris-setosa,0.1,"[5, 6, 7]",0.6651908391252233,0.666552109638352,0.665787304607674,0,10
Iris-setosa,0.01,[],0.21396724815893892,0.7220635243514888,0.6154479708393206,0,1
Iris-setosa,0.01,[4],0.193361226294529,0.6669598866314705,0.4978002365607248,0,4
Iris-setosa,0.01,"[5, 6, 7]",0.6671954360739512,0.66678108625269,0.6664395430925263,0,10
Iris-setosa,0.001,[],0.551099717915587,0.664681208684019,0.5926071705928571,0,10
Iris-setosa,0.001,[4],0.6757962817473386,0.6645945698380169,0.6413472566259485,0,10
Iris-setosa,0.001,"[5, 6, 7]",0.6668933820730745,0.6665982066232662,0.6663545952384807,0,10
Iris-virginica,0.1,[],0.06526357363604139,0.8497114499425501,0.6242104340222556,0,0
Iris-virginica,0.1,[4],0.022080558860764096,0.4373692364942911,0.4482198095528085,0,0
Iris-virginica,0.1,"[5, 6, 7]",0.23478314137983594,0.6834265969535546,0.5125089607537957,0,3
Iris-virginica,0.01,[],0.19625246464531235,0.721005906141041,0.5725835792806908,0,1
Iris-virginica,0.01,[4],0.27345932100321796,0.6892017080540245,0.5292571948037199,0,2
Iris-virginica,0.01,"[5, 6, 7]",0.6671313708289197,0.666683502286629,0.6662113640051602,0,10
Iris-virginica,0.001,[],0.5877130183279322,0.677549346529335,0.5956222111116135,0,10
Iris-virginica,0.001,[4],0.6755968212086318,0.6708519240455779,0.6489917779837996,0,10
Iris-virginica,0.001,"[5, 6, 7]",0.6670165944238617,0.666822938070625,0.6662388147625738,0,10
Iris-versicolor,0.1,[],0.07314656303534278,0.8492086770356498,0.6165288231875052,0,0
Iris-versicolor,0.1,[4],0.01777147291583911,0.4618203238636921,0.4222679938597732,0,0
Iris-versicolor,0.1,"[5, 6, 7]",0.20328919550665878,0.6693471651114373,0.5254628921797609,0,10
Iris-versicolor,0.01,[],0.19023729051876834,0.7173877259423282,0.5831149949538035,0,2
Iris-versicolor,0.01,[4],0.22629698410227683,0.6464106353085659,0.5249043669917894,0,5
Iris-versicolor,0.01,"[5, 6, 7]",0.6669051495477771,0.6667150441690941,0.6665098805130145,0,10
Iris-versicolor,0.001,[],0.5006362047157175,0.6721498751812742,0.5850095952293188,0,10
Iris-versicolor,0.001,[4],0.6813340878745615,0.6713318876504416,0.6514491918085448,0,10
Iris-versicolor,0.001,"[5, 6, 7]",0.6671144022727361,0.6667822258995003,0.6664149755667271,0,10
