specie,alpha,hidden layers,max error,min error,avg error,false positives,false negatives
Iris-setosa,0.1,[],1.5151347689340383e-05,0.02246101006257012,1.8725718125770452e-05,0,10
Iris-setosa,0.1,[4],2.2829301078100173e-05,0.0054413182795424305,4.738679152085775e-05,0,0
Iris-setosa,0.1,"[5, 6, 7]",0.32818783643787736,0.3333609388296002,0.33099853039713006,0,10
Iris-setosa,0.01,[],0.0035180659170103257,0.10866241287579677,0.01903769918981562,0,10
Iris-setosa,0.01,[4],0.01879129161560553,0.1586285692933095,0.04235142079325845,0,10
Iris-setosa,0.01,"[5, 6, 7]",0.3326114404158521,0.33306411460811397,0.3336811615561266,0,10
Iris-setosa,0.001,[],0.13760496691995497,0.3104283276199066,0.20897445509680082,0,10
Iris-setosa,0.001,[4],0.2769815978233572,0.3235356167764436,0.35702520673411403,0,10
Iris-setosa,0.001,"[5, 6, 7]",0.33232179666920875,0.3333914557948784,0.33367396273866057,0,10
Iris-virginica,0.1,[],1.6055651617348704e-05,0.02230506468810235,1.842023312749597e-05,0,10
Iris-virginica,0.1,[4],1.0423448470260045e-05,0.0023725278034522398,1.6226229902699922e-05,0,0
Iris-virginica,0.1,"[5, 6, 7]",0.038712960611222105,0.15772573331023626,0.034035918100530325,0,10
Iris-virginica,0.01,[],0.004003080022015065,0.10805059144552358,0.020075908233482084,0,10
Iris-virginica,0.01,[4],0.017354000995047365,0.18190909486300957,0.028934696490915023,0,10
Iris-virginica,0.01,"[5, 6, 7]",0.33217573413589097,0.33329376362628776,0.3335084216713771,0,10
Iris-virginica,0.001,[],0.1547457745439792,0.24436597608188584,0.2417395808596078,0,10
Iris-virginica,0.001,[4],0.2721349077520314,0.328191491157291,0.3546449452704624,0,10
Iris-virginica,0.001,"[5, 6, 7]",0.3322233874704896,0.3329681229752551,0.33378549129416446,0,10
Iris-versicolor,0.1,[],1.2483206349392748e-05,0.02239660651122291,1.8116068048142693e-05,0,10
Iris-versicolor,0.1,[4],3.097052945136183e-05,0.008732498539019926,2.6062366213091644e-06,0,1
Iris-versicolor,0.1,"[5, 6, 7]",0.048630758997800505,0.14261166094332609,0.05430208788577162,0,10
Iris-versicolor,0.01,[],0.004277815980858328,0.1143423940762605,0.0203224504317083,0,10
Iris-versicolor,0.01,[4],0.014531461386827498,0.17427021572566584,0.03389830774127868,0,10
Iris-versicolor,0.01,"[5, 6, 7]",0.3327503196377735,0.3331998542423053,0.3335457180182558,0,10
Iris-versicolor,0.001,[],0.11182302804891926,0.2787313016216625,0.19736006785635063,0,10
Iris-versicolor,0.001,[4],0.30342031116998225,0.323000990578077,0.34649596141030087,0,10
Iris-versicolor,0.001,"[5, 6, 7]",0.3329286151766425,0.33311297526159134,0.3336080020437343,0,10
