alpha,max error,min error,avg error,false positives,false negatives
2.0,8.597212942067507e-06,0.002081581234066479,1.5178501467954733e-09,0.0,2.5
0.5,8.70389893947421e-06,0.002671874790620948,2.339192238411851e-06,0.0,1.25
0.1,1.8882063493900025e-05,0.023929621755791802,3.786790172270704e-05,0.0,3.5
0.01,0.1285182805999952,0.22737943361850316,0.14185941794620202,0.0,10.0
0.001,0.27488103267250297,0.32270590925218,0.3360900174881185,0.0,10.0
0.0001,0.39749828330285103,0.3868771136411261,0.3664751840738907,0.0,10.0
