alpha,hidden layers,max error,min error,avg error,false positives,false negatives
2.0,[],0.01023954854730198,0.8475483665604836,0.3573744345820711,0,0
2.0,[4],0.000690077120646071,0.33730484011625367,0.34042683482097513,0,0
2.0,[5],0.000758133574233504,0.3276865240000012,0.32775520791339774,0,0
2.0,[10],0.0009235450346695434,0.21458662345013757,0.2522562805288008,0,0
2.0,[20],0.0014668756616061276,0.2529104152312859,0.28099098126666266,0,0
2.0,"[5, 6]",0.0014265101151421686,0.2184704258403278,0.20941086510678975,0,0
2.0,"[1, 5]",7.693405931793775e-05,0.5974572762626088,0.5643174667362452,0,0
2.0,"[10, 8]",0.001023620794952773,0.16861793564068753,0.16311148220484428,0,0
0.5,[],0.02581073460532629,0.8522771658346878,0.4671219912726283,0,0
0.5,[4],0.00580489372385625,0.312185729423649,0.32708532327081596,0,0
0.5,[5],0.002773688677036195,0.35823240462546624,0.33643846285872114,0,0
0.5,[10],0.0057653443741198926,0.3432021883417873,0.3169231981607833,0,0
0.5,[20],0.004090581165781488,0.2747093343560808,0.3547499816267732,0,0
0.5,"[5, 6]",0.0016261216353970044,0.46037983108979336,0.4056204892701324,0,0
0.5,"[1, 5]",0.007677308059524823,0.12352053361980908,0.10540091878439556,0,0
0.5,"[10, 8]",0.003413518030777226,0.18472450772282692,0.1810156464380721,0,0
0.1,[],0.06502796328944183,0.8496724050215638,0.6220402260159064,0,0
0.1,[4],0.031470605853572524,0.45506577133367915,0.4105527260948485,0,0
0.1,[5],0.016655000734122405,0.43194828402933333,0.43175401584248596,0,0
0.1,[10],0.017332681179148844,0.47186783153193995,0.4254301941640939,0,0
0.1,[20],0.017687151532857524,0.4602144996197056,0.3885449880069335,0,0
0.1,"[5, 6]",0.08882011906531324,0.45881187804532925,0.4090188313655463,0,0
0.1,"[1, 5]",0.15951685866492482,0.6770466929111747,0.4333459134621763,0,0
0.1,"[10, 8]",0.08048447960929371,0.5382080647149985,0.5238438084267867,0,0
0.01,[],0.20294115440488478,0.7177007712567035,0.5629287821815219,0,1
0.01,[4],0.22007715104595307,0.6873559663959011,0.5170771090586535,0,0
0.01,[5],0.18471997449090002,0.6747477494992118,0.49753881841714676,0,0
0.01,[10],0.22608921692499362,0.6778862376079446,0.5598603392629149,0,0
0.01,[20],0.16412337205978106,0.6412068415940049,0.5719847536831508,0,0
0.01,"[5, 6]",0.6682949811827824,0.6682244259475849,0.6622112901040109,0,10
0.01,"[1, 5]",0.6679062828945688,0.6673166350396298,0.6655233860519838,0,10
0.01,"[10, 8]",0.6673502678563248,0.6665595452602424,0.6655343031532823,0,10
0.001,[],0.5372114868319857,0.6746174507669418,0.541752839966098,0,10
0.001,[4],0.6777773825711813,0.6651565617248816,0.64430367035274,0,10
0.001,[5],0.6556782318018526,0.6637111754973081,0.6294930035000046,0,10
0.001,[10],0.6496722940435689,0.6715486499446403,0.6298674807427873,0,10
0.001,[20],0.6568815132146058,0.6642550624445973,0.6305309738966798,0,10
0.001,"[5, 6]",0.670709126607054,0.6664470402649141,0.6628970815255071,0,10
0.001,"[1, 5]",0.6667040943573976,0.6659637003938911,0.66461447153637,0,10
0.001,"[10, 8]",0.667625451568381,0.6664545205605148,0.6659504366292552,0,10
0.0001,[],0.8586251686320752,0.7600730827870185,0.8393991126635223,1,10
0.0001,[4],0.8162328113493095,0.7605175965733046,0.7719032703206039,0,10
0.0001,[5],0.7027045781999592,0.6616017471153436,0.6204758723568222,0,10
0.0001,[10],0.6676518048081631,0.6861433981104514,0.6057890806105883,0,10
0.0001,[20],0.574715513050583,0.701417149704662,0.6636692295793771,0,10
0.0001,"[5, 6]",0.5010481029850887,0.5431791068619632,0.5194719659804468,0,10
0.0001,"[1, 5]",0.6655118213935913,0.7255739332127938,0.5967965189626987,0,10
0.0001,"[10, 8]",0.5576786755698582,0.5456915882823423,0.5730704805563985,0,10
