alpha,hidden layers,test max error,test min error,test avg error,train max error,train min error,train avg error,test successes,test failures
0.1,[],0.3252379889095788,0.0003090711856057471,0.017420688388202606,0.736505464008802,0.00019348814181363583,0.04015225606405041,30,0
0.1,"[(4, 4)]",0.3142699817071408,0.0015828710595470197,0.0377874845770718,0.6955769531050859,0.0014712349376623246,0.06071593419382925,30,0
0.1,"[(4, 10), (10, 4)]",0.7309809224905612,0.03993268532899674,0.3231594067402313,0.7413809134815874,0.03765571491197339,0.3317713106698281,24,6
0.01,[],0.6417095553618093,0.03243629467881726,0.2868015023910212,0.6494743507878735,0.024469707519756523,0.2971352627676722,28,2
0.01,"[(4, 4)]",0.6696988113269027,0.6544744730826559,0.6624149298331014,0.6698505984988805,0.6515140716613403,0.662710400371703,16,14
0.01,"[(4, 10), (10, 4)]",0.6667254359501975,0.6665914273533902,0.6666538382136894,0.666747519091232,0.6665912431098567,0.6666574977124028,10,20
0.001,[],0.6619587109484419,0.6278585054215258,0.6431688202646197,0.6633521901620929,0.6242705340900916,0.6446164621102136,20,10
0.001,"[(4, 4)]",0.6685659825769638,0.6643540171191916,0.6666223218612821,0.6690586782919928,0.6640505504254497,0.6666535784584912,10,20
0.001,"[(4, 10), (10, 4)]",0.666917330799808,0.6664898166542801,0.6667380052197969,0.6669521007376575,0.6664895274692577,0.666743380434998,7,23
